date_key,open,high,low,close
2015-01-01,20085.95,20131.5,20018.1,20057.6
2015-01-02,20065.8,20213.2,20065.8,20142.65
2015-01-05,20176.25,20286.75,20138.75,20184.85
2015-01-06,20169.7,20169.7,19817.9,19863.35
2015-01-07,19784.05,20069.25,19748.8,19841.1
2015-01-08,19947.85,20284.7,19947.85,20244.15
2015-01-09,20295.1,20413.2,20088.3,20286.65
2015-01-12,20332.6,20558.75,20318.2,20517.8
2015-01-13,20563.45,20702.75,20464.8,20603.0
2015-01-14,20628.45,20628.45,20202.5,20455.8
2015-01-15,20733.1,20837.65,20545.75,20770.0
2015-01-16,20837.15,21000.0,20709.2,20969.6
2015-01-19,21009.6,21009.6,20678.8,20728.4
2015-01-20,20749.1,21128.45,20644.55,21091.15
2015-01-21,21176.3,21176.3,20524.45,20673.9
2015-01-22,20696.5,20980.7,20574.15,20670.8
2015-01-23,20801.1,20896.65,20686.65,20744.2
2015-01-27,20767.35,21019.75,20750.8,20985.6
2015-01-28,20963.0,21053.8,20888.15,21027.85
2015-01-29,21035.9,21355.15,20939.9,21293.1
2015-01-30,21303.1,21354.2,21018.05,21165.75
2015-02-02,21095.35,21185.7,20797.6,20840.2
2015-02-03,20886.0,21117.4,20886.0,21052.8
2015-02-04,21132.35,21253.45,20910.35,20991.45
2015-02-05,20976.8,21248.0,20909.25,21093.95
2015-02-06,21011.3,21327.15,21010.7,21286.2
2015-02-09,21187.55,21262.75,20957.75,20995.1
2015-02-10,20975.9,21247.3,20956.65,21069.5
2015-02-11,21143.3,21320.75,21020.8,21252.15
2015-02-12,21331.75,21351.45,21023.05,21224.2
2015-02-13,21284.4,21660.0,21278.0,21616.45
2015-02-16,21606.7,22067.85,21606.7,22009.0
2015-02-18,21846.45,22460.2,21846.45,22195.75
2015-02-19,22220.2,22255.45,21759.4,21989.35
2015-02-20,21937.85,22211.75,21816.25,22149.95
2015-02-23,22150.85,22294.95,21870.15,21902.95
2015-02-24,21982.8,22278.05,21885.1,22231.85
2015-02-25,22333.8,22333.8,22132.65,22295.15
2015-02-26,22260.75,22329.55,21946.8,22070.9
2015-02-27,22057.8,22141.6,21691.9,22063.95
2015-02-28,22102.0,22716.7,20702.6,21102.35
2015-03-02,21025.15,21025.15,20539.2,20648.65
2015-03-03,20689.1,20732.1,20540.35,20661.4
2015-03-04,20814.3,21039.45,20702.95,20743.4
2015-03-05,20819.7,21108.85,20795.15,21005.85
2015-03-09,20893.7,20993.1,20809.55,20878.05
2015-03-10,20968.25,20968.25,20722.0,20773.25
2015-03-11,20848.3,20913.25,20717.7,20778.5
2015-03-12,20817.8,21148.2,20805.0,21107.85
2015-03-13,21190.05,21197.1,20624.7,20676.7
2015-03-16,20733.65,20752.65,20417.45,20436.8
2015-03-17,20611.7,20756.2,20538.25,20718.6
2015-03-18,20777.4,20777.4,20540.35,20572.05
2015-03-19,20719.35,20804.15,20341.55,20430.65
2015-03-20,20453.75,20453.75,19966.6,19999.8
2015-03-23,20007.65,20100.45,19948.0,19999.2
2015-03-24,19973.55,20083.75,19917.45,19945.0
2015-03-25,20016.25,20027.9,19926.5,19957.5
2015-03-26,19908.2,20011.9,19637.55,19691.15
2015-03-27,19839.45,19839.45,19362.2,19511.0
2015-03-30,19642.65,19933.3,19641.9,19880.95
2015-03-31,19937.1,19992.25,19766.0,19879.6
2015-04-01,19887.5,20162.1,19839.25,20145.1
2015-04-06,20062.95,20632.0,20062.95,20607.9
2015-04-07,20647.5,20851.3,20518.0,20747.95
2015-04-08,20813.6,21111.15,20809.1,21074.1
2015-04-09,21133.8,21173.1,20976.0,21118.95
2015-04-10,21137.95,21233.65,21008.0,21214.75
2015-04-13,21238.65,21491.55,21147.6,21456.4
2015-04-15,21533.85,21659.5,21419.9,21463.05
2015-04-16,21406.95,21457.35,21105.05,21287.8
2015-04-17,21330.45,21373.3,21249.05,21277.85
2015-04-20,21298.65,21298.65,20624.25,20666.35
2015-04-21,20665.6,20864.25,20399.1,20429.3
2015-04-22,20441.85,20614.75,20253.4,20538.6
2015-04-23,20575.4,20755.95,20340.95,20525.7
2015-04-24,20544.8,20690.8,20474.45,20606.05
2015-04-27,20617.2,20678.75,20183.7,20242.55
2015-04-28,20212.65,20229.3,19840.9,20053.3
2015-04-29,19979.7,19980.75,19694.15,19729.95
2015-04-30,19729.8,19729.8,19429.75,19510.7
2015-05-04,19606.65,19946.9,19498.55,19911.3
2015-05-05,19861.7,19995.45,19770.5,19963.8
2015-05-06,19960.2,20010.15,19405.55,19490.85
2015-05-07,19492.0,19593.85,19341.25,19541.95
2015-05-08,19708.1,19937.55,19643.1,19857.2
2015-05-11,19967.5,19987.7,19712.65,19795.95
2015-05-12,19845.1,19845.65,19537.05,19598.75
2015-05-13,19737.85,19906.1,19483.7,19818.9
2015-05-14,19806.75,19887.9,19622.25,19846.05
2015-05-15,19890.15,20021.55,19871.8,19997.6
2015-05-18,20044.0,20324.15,20001.85,20292.1
2015-05-19,20262.6,20352.6,20190.3,20231.1
2015-05-20,20265.55,20323.8,20195.35,20232.5
2015-05-21,20302.0,20302.0,20025.95,20070.95
2015-05-22,20193.15,20273.85,20083.25,20167.75
2015-05-25,19964.8,19998.25,19747.35,19766.95
2015-05-26,19826.95,19826.95,19615.7,19682.2
2015-05-27,19660.25,19836.45,19623.0,19794.75
2015-05-28,19831.35,19900.75,19722.0,19856.5
2015-05-29,19901.75,20192.6,19801.9,20107.3
2015-06-01,20033.8,20414.6,20033.8,20387.4
2015-06-02,20304.0,20304.0,19676.35,19709.15
2015-06-03,19584.3,19595.1,18975.4,19132.0
2015-06-04,19177.65,19177.65,18925.4,19069.15
2015-06-05,19070.5,19425.5,18905.3,19259.6
2015-06-08,19364.85,19391.4,19011.4,19084.0
2015-06-09,18979.65,19092.45,18921.45,18978.9
2015-06-10,18994.5,19107.95,18930.55,19014.1
2015-06-11,19073.3,19111.9,18769.75,18828.45
2015-06-12,18813.15,18966.15,18740.5,18846.45
2015-06-15,18833.05,19104.9,18731.6,18935.75
