_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TIMESTAMP,TIMESTAMP,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,symChange,CA
6773dcfdc3d8efb79b691945,UNITDSPR,EQ,N,2024-12-31,2024-12-30T18:30:00.000Z,1633.35,1601.55,1615.05,1625.45,1620.0,1619.55,816405,1322459133.8,1665.35,1054.7,46469,INE854D01024,2024-12-31T12:01:01.999Z,2024-12-31T12:01:01.999Z,0,,1619.86,31-Dec-2024,,
67728b7e3592730a18a589cf,UNITDSPR,EQ,N,2024-12-30,2024-12-29T18:30:00.000Z,1665.35,1567.2,1584.15,1619.55,1612.55,1579.4,3987698,6433476310.3,1665.35,1054.7,87438,INE854D01024,2024-12-30T12:01:02.182Z,2024-12-30T12:01:02.182Z,0,,1613.33,30-Dec-2024,,
676e96dc9d250c1c5727f1a9,UNITDSPR,EQ,N,2024-12-27,2024-12-26T18:30:00.000Z,1589.5,1560.0,1560.05,1579.4,1578.35,1566.95,356482,562111686.95,1647.5,1054.7,21765,INE854D01024,2024-12-27T12:00:28.705Z,2024-12-27T12:00:28.705Z,0,,1576.83,27-Dec-2024,,
676d457d8d87f25407c72002,UNITDSPR,EQ,N,2024-12-26,2024-12-25T18:30:00.000Z,1579.6,1553.05,1579.6,1566.95,1562.55,1564.75,544734,850497696.6,1647.5,1054.7,32579,INE854D01024,2024-12-26T12:01:02.004Z,2024-12-26T12:01:02.004Z,0,,1561.31,26-Dec-2024,,
676aa25a860a445c03ce2064,UNITDSPR,EQ,N,2024-12-24,2024-12-23T18:30:00.000Z,1569.75,1541.5,1554.6,1564.75,1560.0,1545.05,388993,605592163.55,1647.5,1054.7,26616,INE854D01024,2024-12-24T12:00:26.798Z,2024-12-24T12:00:26.798Z,0,,1556.82,24-Dec-2024,,
676950fed102eff4ef7dc270,UNITDSPR,EQ,N,2024-12-23,2024-12-22T18:30:00.000Z,1558.35,1530.6,1530.6,1545.05,1547.7,1544.8,375618,580716745.4,1647.5,1054.7,34141,INE854D01024,2024-12-23T12:01:02.661Z,2024-12-23T12:01:02.661Z,0,,1546.03,23-Dec-2024,,
67655c7e8a68cdbf7810693a,UNITDSPR,EQ,N,2024-12-20,2024-12-19T18:30:00.000Z,1588.95,1541.3,1578.6,1544.8,1552.7,1572.35,484886,756490155.65,1647.5,1047.55,28944,INE854D01024,2024-12-20T12:01:02.094Z,2024-12-20T12:01:02.094Z,0,,1560.14,20-Dec-2024,,
67640afe0fa404e90897f3b8,UNITDSPR,EQ,N,2024-12-19,2024-12-18T18:30:00.000Z,1586.0,1554.4,1560.0,1572.35,1571.9,1579.6,584413,921056804.5,1647.5,1047.55,33411,INE854D01024,2024-12-19T12:01:02.296Z,2024-12-19T12:01:02.296Z,0,,1576.04,19-Dec-2024,,
6762b95a0fa404e90897e6e9,UNITDSPR,EQ,N,2024-12-18,2024-12-17T18:30:00.000Z,1595.85,1539.7,1580.0,1579.6,1576.95,1563.3,2242721,3536585289.65,1647.5,1047.55,88912,INE854D01024,2024-12-18T12:00:26.899Z,2024-12-18T12:00:26.899Z,0,,1576.92,18-Dec-2024,,
676167dbda3f93657ef44b4e,UNITDSPR,EQ,N,2024-12-17,2024-12-16T18:30:00.000Z,1567.7,1528.1,1540.0,1563.3,1565.0,1519.2,2444937,3797179164.75,1647.5,1047.55,102949,INE854D01024,2024-12-17T12:00:27.218Z,2024-12-17T12:00:27.218Z,0,,1553.08,17-Dec-2024,,
