_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TIMESTAMP,TIMESTAMP,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA,symChange
6920520813b2f6b6a967a5ed,TMPV,EQ,N,2025-11-21,2025-11-20T18:30:00.000Z,364.25,358.0,359.0,362.25,362.5,359.8,10829322,3917205812.25,421.55,358.0,133734,INE155A01022,2025-11-21T11:50:32.930Z,2025-11-21T11:50:32.930Z,0,,361.72,21-Nov-2025,,
691f00891263a1000df5cefe,TMPV,EQ,N,2025-11-20,2025-11-19T18:30:00.000Z,364.4,359.25,362.0,359.8,359.8,360.85,15999034,5780152472.75,421.55,359.25,193006,INE155A01022,2025-11-20T11:50:33.476Z,2025-11-20T11:50:33.476Z,0,,361.28,20-Nov-2025,,
691daf0867472f704cc6bff6,TMPV,EQ,N,2025-11-19,2025-11-18T18:30:00.000Z,371.25,360.35,371.2,360.85,361.0,371.3,17854517,6496230943.5,421.55,360.35,254289,INE155A01022,2025-11-19T11:50:32.791Z,2025-11-19T11:50:32.791Z,0,,363.84,19-Nov-2025,,
691c5d89072b4f56db5ac73a,TMPV,EQ,N,2025-11-18,2025-11-17T18:30:00.000Z,374.0,369.15,373.1,371.3,371.1,372.7,17484757,6498113158.9,421.55,363.0,187800,INE155A01022,2025-11-18T11:50:33.659Z,2025-11-18T11:50:33.659Z,0,,371.64,18-Nov-2025,,
691b0c080c4d8b723dd82f82,TMPV,EQ,N,2025-11-17,2025-11-16T18:30:00.000Z,380.0,363.0,380.0,372.7,372.65,391.2,32393346,12077817482.6,421.55,363.0,365825,INE155A01022,2025-11-17T11:50:32.789Z,2025-11-17T11:50:32.789Z,0,,372.85,17-Nov-2025,,
69171789f4d0dbf0f2d82568,TMPV,EQ,N,2025-11-14,2025-11-13T18:30:00.000Z,399.6,387.3,397.95,391.2,392.9,397.95,21834856,8557514210.55,421.55,376.3,191160,INE155A01022,2025-11-14T11:50:33.645Z,2025-11-14T11:50:33.645Z,0,,391.92,14-Nov-2025,,
6915c6090d124e42e0173c15,TMPV,EQ,N,2025-11-13,2025-11-12T18:30:00.000Z,404.0,397.4,404.0,397.95,398.0,402.15,13165727,5259774079.35,421.55,376.3,159478,INE155A01022,2025-11-13T11:50:33.210Z,2025-11-13T11:50:33.210Z,0,,399.51,13-Nov-2025,,
69147488da8ca102cceaa924,TMPV,EQ,N,2025-11-12,2025-11-11T18:30:00.000Z,411.4,401.9,407.6,402.15,402.3,407.6,12940220,5233028534.65,421.55,376.3,159229,INE155A01022,2025-11-12T11:50:32.938Z,2025-11-12T11:50:32.938Z,0,,404.4,12-Nov-2025,,
691323093d2f4586f492734a,TMPV,EQ,N,2025-11-11,2025-11-10T18:30:00.000Z,413.7,402.65,412.55,407.6,408.1,410.45,8120946,3295167221.65,421.55,376.3,125989,INE155A01022,2025-11-11T11:50:33.292Z,2025-11-11T11:50:33.292Z,0,,405.76,11-Nov-2025,,
6911f4b1adcae4cfb6befa7a,TMPV,EQ,N,2025-11-10,2025-11-09T18:30:00.000Z,412.95,406.0,406.0,410.45,410.7,405.7,7913640,3246170957.8,421.55,376.3,133206,INE155A01022,2025-11-10T14:20:33.510Z,2025-11-10T14:20:33.510Z,0,,410.2,10-Nov-2025,,
690ddd0ae6c8a010e805c1a8,TMPV,EQ,N,2025-11-07,2025-11-06T18:30:00.000Z,407.2,401.45,406.7,405.7,405.75,407.85,6930046,2805098792.95,421.55,376.3,135368,INE155A01022,2025-11-07T11:50:34.068Z,2025-11-07T11:50:34.068Z,0,,404.77,07-Nov-2025,,
690c8b89c7708cc5546dcfb9,TMPV,EQ,N,2025-11-06,2025-11-05T18:30:00.000Z,409.7,405.4,407.15,407.85,407.75,406.5,6862359,2798565709.7,421.55,376.3,112326,INE155A01022,2025-11-06T11:50:33.361Z,2025-11-06T11:50:33.361Z,0,,407.81,06-Nov-2025,,
6909e889fe0d3389daeb00e6,TMPV,EQ,N,2025-11-04,2025-11-03T18:30:00.000Z,417.5,405.1,417.4,406.5,407.0,417.0,8889004,3638611820.9,421.55,376.3,121609,INE155A01022,2025-11-04T11:50:33.233Z,2025-11-04T11:50:33.233Z,0,,409.34,04-Nov-2025,,
69089709c1b16834c48892a3,TMPV,EQ,N,2025-11-03,2025-11-02T18:30:00.000Z,417.85,410.1,414.0,417.0,417.4,410.0,8952229,3705457938.2,421.55,376.3,116167,INE155A01022,2025-11-03T11:50:33.144Z,2025-11-03T11:50:33.144Z,0,,413.91,03-Nov-2025,,
6904a2892b1839c310c899fe,TMPV,EQ,N,2025-10-31,2025-10-30T18:30:00.000Z,417.5,409.05,414.05,410.0,410.1,412.45,8012169,3309077369.35,421.55,376.3,110426,INE155A01022,2025-10-31T11:50:33.786Z,2025-10-31T11:50:33.786Z,0,,413.01,31-Oct-2025,,
69035108890180d4edc1de12,TMPV,EQ,N,2025-10-30,2025-10-29T18:30:00.000Z,419.0,408.1,412.7,412.45,412.85,411.35,8783965,3613882592.7,421.55,376.3,130267,INE155A01022,2025-10-30T11:50:32.966Z,2025-10-30T11:50:32.966Z,0,,411.42,30-Oct-2025,,
6901ff8a80deb7a89fdb4c16,TMPV,EQ,N,2025-10-29,2025-10-28T18:30:00.000Z,415.0,407.05,412.5,411.35,411.85,411.5,8485023,3497813318.65,421.55,376.3,112896,INE155A01022,2025-10-29T11:50:34.197Z,2025-10-29T11:50:34.197Z,0,,412.23,29-Oct-2025,,
6900ae633db178cda4caf4ff,TMPV,EQ,N,2025-10-28,2025-10-27T18:30:00.000Z,414.15,408.55,411.3,411.5,412.4,410.05,10332279,4248666919.45,421.55,376.3,161021,INE155A01022,2025-10-28T11:52:03.598Z,2025-10-28T11:52:03.598Z,0,,411.2,28-Oct-2025,,
68ff5c8cb9e09d639ebccd08,TMPV,EQ,N,2025-10-27,2025-10-26T18:30:00.000Z,411.4,403.65,404.0,410.05,410.0,403.3,10699376,4379764397.3,421.55,376.3,154558,INE155A01022,2025-10-27T11:50:36.751Z,2025-10-27T11:50:36.751Z,0,,409.35,27-Oct-2025,,
68fb680930dca008e3129e00,TMPV,EQ,N,2025-10-24,2025-10-23T18:30:00.000Z,408.5,401.0,406.95,403.3,403.5,405.85,6311744,2552854700.45,421.55,376.3,93358,INE155A01022,2025-10-24T11:50:33.564Z,2025-10-24T11:50:33.564Z,0,,404.46,24-Oct-2025,, Symbol changed to TMPV. Company name changed to TATA MOTORS PASSENGER VEHICLES LIMITED.
68fa168bb2b2b957aea08c50,TATAMOTORS,EQ,N,2025-10-23,2025-10-22T18:30:00.000Z,408.9,403.6,407.5,405.85,405.8,401.85,14126009,5743428765.75,421.55,376.3,192363,INE155A01022,2025-10-23T11:50:35.662Z,2025-10-23T11:50:35.662Z,0,,406.59,23-Oct-2025,,
