_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TIMESTAMP,TIMESTAMP,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA
6920520a07f3d4b6c9fcb6f6,ADANIENT,EQ,N,2025-11-21,2025-11-20T18:30:00.000Z,2456.2,2418.0,2450.0,2422.3,2419.0,2446.1,547541,1332668218.7,2894.8,2025,23006,INE423A01024,2025-11-21T11:50:34.859Z,2025-11-21T11:50:34.859Z,0,,2433.91,21-Nov-2025,
691f008b2b0d5d31792e1970,ADANIENT,EQ,N,2025-11-20,2025-11-19T18:30:00.000Z,2478.9,2440.4,2450.1,2446.1,2448.0,2433.1,1526556,3750263987.4,2894.8,2025,49383,INE423A01024,2025-11-20T11:50:35.601Z,2025-11-20T11:50:35.601Z,0,,2456.68,20-Nov-2025,
691daf0c1af1184e44825251,ADANIENT,EQ,N,2025-11-19,2025-11-18T18:30:00.000Z,2449.9,2413.9,2446.5,2433.1,2431.0,2436.8,774785,1884745679.4,2894.8,2025,29152,INE423A01024,2025-11-19T11:50:36.098Z,2025-11-19T11:50:36.098Z,0,,2432.6,19-Nov-2025,
691c5d8b26ab8d0612f0981d,ADANIENT,EQ,N,2025-11-18,2025-11-17T18:30:00.000Z,2478.6,2434.3,2462.0,2436.8,2439.0,2462.0,1245215,3048673912.0,2894.8,2025,33053,INE423A01024,2025-11-18T11:50:35.304Z,2025-11-18T11:50:35.304Z,0,,2448.31,18-Nov-2025,
691b0c0bacf346e0b647b563,ADANIENT,EQ,N,2025-11-17,2025-11-16T18:30:00.000Z,2474.9,2421.0,2460.0,2462.0,2466.8,2516.8,2672697,6544536467.5,2894.8,2025,64529,INE423A01024,2025-11-17T11:50:35.647Z,2025-11-17T11:50:35.647Z,0,,2448.66,17-Nov-2025,"[{'symbol': 'ADANIENT', 'series': 'EQ', 'ind': '-', 'faceVal': '1', 'subject': 'Rights 3:25 @ Premium Rs 1799/-', 'exDate': '17-Nov-2025', 'recDate': '17-Nov-2025', 'bcStartDate': '-', 'bcEndDate': '-', 'ndStartDate': '-', 'comp': 'Adani Enterprises Limited', 'isin': 'INE423A01024', 'ndEndDate': '-', 'caBroadcastDate': None}]"
6917178b121f13b27b39297d,ADANIENT,EQ,N,2025-11-14,2025-11-13T18:30:00.000Z,2553.7,2481.0,2500.0,2516.8,2524.1,2488.2,4496233,11350671383.9,2946.8,2025,98231,INE423A01024,2025-11-14T11:50:35.207Z,2025-11-14T11:50:35.207Z,0,,2524.48,14-Nov-2025,
6915c7541dc29b78d0034c2b,ADANIENT,EQ,N,2025-11-13,2025-11-12T18:30:00.000Z,2525.0,2468.1,2502.0,2488.2,2488.0,2484.5,2706326,6752980013.6,2946.8,2025,69562,INE423A01024,2025-11-13T11:56:04.744Z,2025-11-13T11:56:04.744Z,0,,2495.26,13-Nov-2025,
6914748b7fcd93fa56e9f595,ADANIENT,EQ,N,2025-11-12,2025-11-11T18:30:00.000Z,2517.5,2361.0,2384.0,2484.5,2485.2,2366.8,6685426,16500894714.8,2946.8,2025,166963,INE423A01024,2025-11-12T11:50:35.215Z,2025-11-12T11:50:35.215Z,0,,2468.19,12-Nov-2025,
6913230b495869a5007bf8a8,ADANIENT,EQ,N,2025-11-11,2025-11-10T18:30:00.000Z,2378.9,2338.5,2368.0,2366.8,2370.2,2370.7,634172,1496188771.4,2946.8,2025,33161,INE423A01024,2025-11-11T11:50:35.629Z,2025-11-11T11:50:35.629Z,0,,2359.28,11-Nov-2025,
6911f4b2cca2582e2829433d,ADANIENT,EQ,N,2025-11-10,2025-11-09T18:30:00.000Z,2388.0,2364.0,2380.9,2370.7,2365.0,2369.4,559808,1329223859.0,2946.8,2025,30696,INE423A01024,2025-11-10T14:20:34.887Z,2025-11-10T14:20:34.887Z,0,,2374.43,10-Nov-2025,
690ddd0b9168790cdff99b56,ADANIENT,EQ,N,2025-11-07,2025-11-06T18:30:00.000Z,2402.5,2291.4,2315.0,2369.4,2374.8,2314.3,2232889,5276303005.0,3070.0,2025,69168,INE423A01024,2025-11-07T11:50:35.960Z,2025-11-07T11:50:35.960Z,0,,2362.99,07-Nov-2025,
690c8b8b20f15f6ac589a113,ADANIENT,EQ,N,2025-11-06,2025-11-05T18:30:00.000Z,2427.1,2307.6,2425.1,2314.3,2311.0,2419.8,1978147,4641523864.7,3070.0,2025,87565,INE423A01024,2025-11-06T11:50:36.001Z,2025-11-06T11:50:36.001Z,0,,2346.4,06-Nov-2025,
6909e88b66f1902bc3a5aed3,ADANIENT,EQ,N,2025-11-04,2025-11-03T18:30:00.000Z,2488.9,2390.6,2479.8,2419.8,2399.9,2467.0,2072668,5043562855.6,3070.0,2025,77117,INE423A01024,2025-11-04T11:50:35.215Z,2025-11-04T11:50:35.215Z,0,,2433.37,04-Nov-2025,
6908970bc1e397ad87c5798a,ADANIENT,EQ,N,2025-11-03,2025-11-02T18:30:00.000Z,2501.9,2457.5,2484.0,2467.0,2469.5,2481.0,731108,1810659105.8,3070.0,2025,36644,INE423A01024,2025-11-03T11:50:35.499Z,2025-11-03T11:50:35.499Z,0,,2476.6,03-Nov-2025,
6904a28b184c953e0b1b0f41,ADANIENT,EQ,N,2025-10-31,2025-10-30T18:30:00.000Z,2543.5,2464.9,2535.0,2481.0,2474.9,2526.9,848642,2127402097.6,3070.0,2025,36750,INE423A01024,2025-10-31T11:50:35.371Z,2025-10-31T11:50:35.371Z,0,,2506.83,31-Oct-2025,
6903525644041d769569da25,ADANIENT,EQ,N,2025-10-30,2025-10-29T18:30:00.000Z,2559.4,2511.8,2550.0,2526.9,2528.8,2537.4,783328,1984294787.6,3070.0,2025,30911,INE423A01024,2025-10-30T11:56:06.277Z,2025-10-30T11:56:06.277Z,0,,2533.16,30-Oct-2025,
6901ff8b27d5106e74b2c0c5,ADANIENT,EQ,N,2025-10-29,2025-10-28T18:30:00.000Z,2600.0,2495.5,2500.0,2537.4,2553.5,2494.4,1526734,3904026893.4,3070.0,2025,63774,INE423A01024,2025-10-29T11:50:35.989Z,2025-10-29T11:50:35.989Z,0,,2557.11,29-Oct-2025,
6900ae652130f5fcbda5c540,ADANIENT,EQ,N,2025-10-28,2025-10-27T18:30:00.000Z,2516.0,2479.1,2495.0,2494.4,2499.0,2492.8,626988,1565815693.8,3070.0,2025,43588,INE423A01024,2025-10-28T11:52:05.418Z,2025-10-28T11:52:05.418Z,0,,2497.36,28-Oct-2025,
68ff5c8c657132c89b32f193,ADANIENT,EQ,N,2025-10-27,2025-10-26T18:30:00.000Z,2514.6,2487.1,2504.2,2492.8,2490.0,2504.2,478055,1194237293.5,3070.0,2025,28241,INE423A01024,2025-10-27T11:50:36.472Z,2025-10-27T11:50:36.472Z,0,,2498.12,27-Oct-2025,
68fb680c4a32d69850bd7eef,ADANIENT,EQ,N,2025-10-24,2025-10-23T18:30:00.000Z,2554.8,2497.7,2554.8,2504.2,2505.7,2545.8,473765,1192595456.2,3070.0,2025,26841,INE423A01024,2025-10-24T11:50:36.265Z,2025-10-24T11:50:36.265Z,0,,2517.27,24-Oct-2025,
68fa168bd1451edd95c5f2b5,ADANIENT,EQ,N,2025-10-23,2025-10-22T18:30:00.000Z,2577.8,2540.9,2559.9,2545.8,2544.9,2549.9,852445,2183617021.7,3070.0,2025,28965,INE423A01024,2025-10-23T11:50:35.414Z,2025-10-23T11:50:35.414Z,0,,2561.59,23-Oct-2025,
68f767d20d5985e1d1d6e33a,ADANIENT,EQ,N,2025-10-21,2025-10-20T18:30:00.000Z,2562.0,2542.3,2554.9,2549.9,2548.5,2548.1,101019,257862525.5,3070.0,2025,5843,INE423A01024,2025-10-21T11:00:34.753Z,2025-10-21T11:00:34.753Z,0,,2552.61,21-Oct-2025,
68f6220b86d293248cf17839,ADANIENT,EQ,N,2025-10-20,2025-10-19T18:30:00.000Z,2579.0,2537.1,2561.3,2548.1,2550.0,2549.4,747349,1909740577.4,3070.0,2025,36293,INE423A01024,2025-10-20T11:50:35.632Z,2025-10-20T11:50:35.632Z,0,,2555.35,20-Oct-2025,
68f22d8b9129e64c5ffdc0c7,ADANIENT,EQ,N,2025-10-17,2025-10-16T18:30:00.000Z,2577.2,2543.1,2560.0,2549.4,2545.0,2557.6,682968,1746508360.5,3150.1,2025,28888,INE423A01024,2025-10-17T11:50:35.150Z,2025-10-17T11:50:35.150Z,0,,2557.23,17-Oct-2025,
68f0dc0caff105f0153dac82,ADANIENT,EQ,N,2025-10-16,2025-10-15T18:30:00.000Z,2579.7,2540.9,2544.8,2557.6,2554.5,2532.8,1020102,2614960858.8,3150.1,2025,36921,INE423A01024,2025-10-16T11:50:36.310Z,2025-10-16T11:50:36.310Z,0,,2563.43,16-Oct-2025,
68ef8b5dd468e0be5e8c7f2f,ADANIENT,EQ,N,2025-10-15,2025-10-14T18:30:00.000Z,2561.4,2527.3,2535.0,2532.8,2538.8,2517.0,759772,1931494102.2,3150.1,2025,32585,INE423A01024,2025-10-15T11:54:05.389Z,2025-10-15T11:54:05.389Z,0,,2542.2,15-Oct-2025,
68ee3acefcee60f2619cce48,ADANIENT,EQ,N,2025-10-14,2025-10-13T18:30:00.000Z,2538.9,2485.2,2538.9,2517.0,2519.0,2527.4,673048,1689508401.4,3150.1,2025,30957,INE423A01024,2025-10-14T11:58:06.449Z,2025-10-14T11:58:06.449Z,0,,2510.23,14-Oct-2025,
68ed373c063f883b2c99a9af,ADANIENT,EQ,N,2025-10-13,2025-10-12T18:30:00.000Z,2542.1,2504.0,2529.1,2527.4,2523.5,2550.9,645483,1628782145.0,3150.1,2025,28683,INE423A01024,2025-10-13T17:30:36.137Z,2025-10-13T17:30:36.137Z,0,,2523.35,13-Oct-2025,
68ebbb6be25228aa234772ea,ADANIENT,EQ,N,2025-10-10,2025-10-09T18:30:00.000Z,2565.0,2538.8,2552.0,2550.9,2542.1,2542.4,690142,1761512977.8,3211.0,2025,30769,,2025-10-12T14:30:03.370Z,2025-10-12T14:30:03.370Z,0,,2552.39,10-Oct-2025,
68e7a18b6ce01425838410f5,ADANIENT,EQ,N,2025-10-09,2025-10-08T18:30:00.000Z,2559.0,2522.2,2535.0,2542.4,2547.0,2524.1,651703,1658413980.2,3211.0,2025,28591,INE423A01024,2025-10-09T11:50:35.356Z,2025-10-09T11:50:35.356Z,0,,2544.74,09-Oct-2025,
68e6500b3b171ef7df0bc419,ADANIENT,EQ,N,2025-10-08,2025-10-07T18:30:00.000Z,2565.0,2500.0,2562.0,2524.1,2525.0,2542.2,1063357,2684638963.0,3211.0,2025,40794,INE423A01024,2025-10-08T11:50:35.730Z,2025-10-08T11:50:35.730Z,0,,2524.68,08-Oct-2025,
68e4fe8ba464eb1cbf414e84,ADANIENT,EQ,N,2025-10-07,2025-10-06T18:30:00.000Z,2617.3,2533.1,2580.7,2542.2,2556.5,2573.5,1120230,2889548494.1,3211.0,2025,48731,INE423A01024,2025-10-07T11:50:35.422Z,2025-10-07T11:50:35.422Z,0,,2579.42,07-Oct-2025,
68e3ad0a6d14ebefc656b563,ADANIENT,EQ,N,2025-10-06,2025-10-05T18:30:00.000Z,2599.8,2562.6,2589.1,2573.5,2573.0,2589.9,654955,1686780114.4,3211.0,2025,29063,INE423A01024,2025-10-06T11:50:34.487Z,2025-10-06T11:50:34.487Z,0,,2575.41,06-Oct-2025,
68dfb88bba1d57db20577e41,ADANIENT,EQ,N,2025-10-03,2025-10-02T18:30:00.000Z,2612.9,2564.4,2595.0,2589.9,2586.1,2592.7,917651,2375328265.0,3211.0,2025,37872,INE423A01024,2025-10-03T11:50:35.031Z,2025-10-03T11:50:35.031Z,0,,2588.49,03-Oct-2025,
68dd158b2db7d92f4de4f692,ADANIENT,EQ,N,2025-10-01,2025-09-30T18:30:00.000Z,2603.4,2472.1,2518.4,2592.7,2594.3,2505.9,1573485,3988312895.9,3211.0,2025,57732,INE423A01024,2025-10-01T11:50:35.545Z,2025-10-01T11:50:35.545Z,0,,2534.7,01-Oct-2025,
