_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TIMESTAMP,TIMESTAMP,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA
6773dcfec3d8efb79b691ca6,DABUR,EQ,N,2024-12-31,2024-12-30T18:30:00.000Z,509.0,502.3,505.3,507.0,507.8,505.25,812765,411592381.0,672.0,489.2,22702,INE016A01026,2024-12-31T12:01:02.323Z,2024-12-31T12:01:02.323Z,0,,506.41,31-Dec-2024,
67728b7e3592730a18a58d3b,DABUR,EQ,N,2024-12-30,2024-12-29T18:30:00.000Z,509.8,503.1,507.0,505.25,507.4,507.15,4298784,2174056369.45,672.0,489.2,54354,INE016A01026,2024-12-30T12:01:02.483Z,2024-12-30T12:01:02.483Z,0,,505.74,30-Dec-2024,
676e96dd9d250c1c5727f510,DABUR,EQ,N,2024-12-27,2024-12-26T18:30:00.000Z,509.7,504.05,506.5,507.15,507.25,505.6,1299653,659665114.5,672.0,489.2,25200,INE016A01026,2024-12-27T12:00:29.022Z,2024-12-27T12:00:29.022Z,0,,507.57,27-Dec-2024,
676d457e8d87f25407c7212d,DABUR,EQ,N,2024-12-26,2024-12-25T18:30:00.000Z,511.5,504.05,510.45,505.6,505.85,509.95,2088931,1058931807.9,672.0,489.2,34588,INE016A01026,2024-12-26T12:01:02.255Z,2024-12-26T12:01:02.255Z,0,,506.93,26-Dec-2024,
676aa25b860a445c03ce2185,DABUR,EQ,N,2024-12-24,2024-12-23T18:30:00.000Z,515.95,507.75,512.0,509.95,509.5,509.5,3207041,1641371456.6,672.0,489.2,44570,INE016A01026,2024-12-24T12:00:27.027Z,2024-12-24T12:00:27.027Z,0,,511.8,24-Dec-2024,
676950fed102eff4ef7dc38e,DABUR,EQ,N,2024-12-23,2024-12-22T18:30:00.000Z,511.0,500.9,502.7,509.5,510.6,502.55,1777848,901482201.3,672.0,489.2,38540,INE016A01026,2024-12-23T12:01:02.897Z,2024-12-23T12:01:02.897Z,0,,507.06,23-Dec-2024,
67655c7e8a68cdbf78106cd0,DABUR,EQ,N,2024-12-20,2024-12-19T18:30:00.000Z,508.3,500.0,504.0,502.55,500.55,503.95,3228278,1631550352.95,672.0,489.2,50875,INE016A01026,2024-12-20T12:01:02.455Z,2024-12-20T12:01:02.455Z,0,,505.39,20-Dec-2024,
67640afe0fa404e90897f4d9,DABUR,EQ,N,2024-12-19,2024-12-18T18:30:00.000Z,505.4,499.5,503.0,503.95,504.9,505.4,1583630,796717497.0,672.0,489.2,35791,INE016A01026,2024-12-19T12:01:02.538Z,2024-12-19T12:01:02.538Z,0,,503.1,19-Dec-2024,
6762b95b0fa404e90897e800,DABUR,EQ,N,2024-12-18,2024-12-17T18:30:00.000Z,508.95,502.45,507.95,505.4,505.8,505.4,2300294,1162171196.45,672.0,489.2,43687,INE016A01026,2024-12-18T12:00:27.276Z,2024-12-18T12:00:27.276Z,0,,505.23,18-Dec-2024,
676167dbda3f93657ef44ea7,DABUR,EQ,N,2024-12-17,2024-12-16T18:30:00.000Z,510.3,504.1,509.0,505.4,506.0,509.95,2821249,1430003281.15,672.0,489.2,56577,INE016A01026,2024-12-17T12:00:27.635Z,2024-12-17T12:00:27.635Z,0,,506.87,17-Dec-2024,
6760167feaa921f6ae66b9b7,DABUR,EQ,N,2024-12-16,2024-12-15T18:30:00.000Z,516.0,509.05,514.05,509.95,510.5,512.8,1041908,533723613.75,672.0,489.2,33759,INE016A01026,2024-12-16T12:01:03.169Z,2024-12-16T12:01:03.169Z,0,,512.26,16-Dec-2024,
675c232b39a54ec28ecfc6c7,DABUR,EQ,N,2024-12-13,2024-12-12T18:30:00.000Z,514.3,499.5,506.65,512.8,512.0,506.65,2205228,1118098474.55,672.0,489.2,47856,INE016A01026,2024-12-13T12:06:03.614Z,2024-12-13T12:06:03.614Z,0,,507.02,13-Dec-2024,
675ad2b8aba46b69d50470c1,DABUR,EQ,N,2024-12-12,2024-12-11T18:30:00.000Z,512.0,505.75,510.0,506.65,506.25,508.35,3491848,1772007470.35,672.0,489.2,50220,INE016A01026,2024-12-12T12:10:32.178Z,2024-12-12T12:10:32.178Z,0,,507.47,12-Dec-2024,
67597edb69e32eca3c9676f2,DABUR,EQ,N,2024-12-11,2024-12-10T18:30:00.000Z,511.25,505.1,507.0,508.35,508.75,506.95,3602452,1832905563.5,672.0,489.2,60944,INE016A01026,2024-12-11T12:00:27.402Z,2024-12-11T12:00:27.402Z,0,,508.79,11-Dec-2024,
67582d7f16c352e2b141f196,DABUR,EQ,N,2024-12-10,2024-12-09T18:30:00.000Z,511.7,504.35,507.95,506.95,507.0,506.85,3425754,1736785512.4,672.0,489.2,63507,INE016A01026,2024-12-10T12:01:03.014Z,2024-12-10T12:01:03.014Z,0,,506.98,10-Dec-2024,
6756dbfe39a54ec28ecfb4b3,DABUR,EQ,N,2024-12-09,2024-12-08T18:30:00.000Z,520.75,503.2,519.0,506.85,507.0,523.8,6086175,3087488523.05,672.0,489.2,146235,INE016A01026,2024-12-09T12:01:02.174Z,2024-12-09T12:01:02.174Z,0,,507.3,09-Dec-2024,
6752e75b2630ec1e326854c8,DABUR,EQ,N,2024-12-06,2024-12-05T18:30:00.000Z,525.85,520.25,525.0,523.8,523.5,523.15,1663402,870069440.0,672.0,489.2,33290,INE016A01026,2024-12-06T12:00:27.811Z,2024-12-06T12:00:27.811Z,0,,523.07,06-Dec-2024,
675195fe8acca1b1a49d7a0f,DABUR,EQ,N,2024-12-05,2024-12-04T18:30:00.000Z,527.3,516.65,525.0,523.15,524.95,522.8,2760858,1438783737.85,672.0,489.2,63928,INE016A01026,2024-12-05T12:01:02.512Z,2024-12-05T12:01:02.512Z,0,,521.14,05-Dec-2024,
6750447e5efd600b138be802,DABUR,EQ,N,2024-12-04,2024-12-03T18:30:00.000Z,527.25,520.0,524.0,522.8,522.6,522.55,2515588,1313668934.15,672.0,489.2,51826,INE016A01026,2024-12-04T12:01:02.327Z,2024-12-04T12:01:02.327Z,0,,522.21,04-Dec-2024,
674ef2fe255fd66265b21ff7,DABUR,EQ,N,2024-12-03,2024-12-02T18:30:00.000Z,529.05,521.0,523.9,522.55,523.3,523.9,3691025,1937465181.1,672.0,489.2,41095,INE016A01026,2024-12-03T12:01:02.313Z,2024-12-03T12:01:02.313Z,0,,524.91,03-Dec-2024,
674da17f9877930d399cb12e,DABUR,EQ,N,2024-12-02,2024-12-01T18:30:00.000Z,528.0,520.7,522.5,523.9,524.4,527.15,1510906,791710122.4,672.0,489.2,37132,INE016A01026,2024-12-02T12:01:03.044Z,2024-12-02T12:01:03.044Z,0,,524.0,02-Dec-2024,
6749c28903e42dbdbf1f48ba,DABUR,EQ,N,2024-11-29,2024-11-28T18:30:00.000Z,529.65,518.25,518.25,527.15,526.6,526.0,2225080,1171051806.65,672.0,489.2,43963,INE016A01026,2024-11-29T13:32:57.145Z,2024-11-29T13:32:57.145Z,0,,526.3,29-Nov-2024,
6748852b698d46a5805dfc2b,DABUR,EQ,N,2024-11-28,2024-11-27T18:30:00.000Z,534.35,524.0,529.85,526.0,525.7,527.5,1554564,819859717.95,672.0,489.2,44004,INE016A01026,2024-11-28T14:58:51.172Z,2024-11-28T14:58:51.172Z,0,,527.39,28-Nov-2024,
674709fe95724a0f1a752524,DABUR,EQ,N,2024-11-27,2024-11-26T18:30:00.000Z,529.2,519.45,519.95,527.5,527.15,525.35,1722809,905895654.8,672.0,489.2,40632,INE016A01026,2024-11-27T12:01:02.847Z,2024-11-27T12:01:02.847Z,0,,525.82,27-Nov-2024,
6745b85c92e9a1a6f6c20f9d,DABUR,EQ,N,2024-11-26,2024-11-25T18:30:00.000Z,529.9,519.4,524.0,525.35,525.0,521.5,894410,469938429.75,672.0,489.2,38394,INE016A01026,2024-11-26T12:00:28.327Z,2024-11-26T12:00:28.327Z,0,,525.42,26-Nov-2024,
67446938ade043122ffefe3d,DABUR,EQ,N,2024-11-25,2024-11-24T18:30:00.000Z,528.15,515.2,516.35,521.5,521.5,513.0,4146364,2163492477.05,672.0,489.2,62789,INE016A01026,2024-11-25T12:10:32.189Z,2024-11-25T12:10:32.189Z,0,,521.78,25-Nov-2024,
6740bc9ea04410b2051ab62e,DABUR,EQ,N,2024-11-22,2024-11-21T18:30:00.000Z,515.1,504.4,506.65,513.0,513.25,505.75,1050913,536457959.0,672.0,489.2,42345,INE016A01026,2024-11-22T17:17:18.437Z,2024-11-22T17:17:18.437Z,0,,510.47,22-Nov-2024,
673f4a967856f2a6c7746cfb,DABUR,EQ,N,2024-11-21,2024-11-20T18:30:00.000Z,509.4,502.4,508.5,505.75,506.7,508.2,1771693,896111012.1,672.0,489.2,41640,INE016A01026,2024-11-21T14:58:30.733Z,2024-11-21T14:58:30.733Z,0,,505.79,21-Nov-2024,
673c9d4f7d371e69501bf757,DABUR,EQ,N,2024-11-19,2024-11-18T18:30:00.000Z,514.5,506.15,511.0,508.2,507.6,508.5,2126926,1088270612.15,672.0,489.2,52479,INE016A01026,2024-11-19T14:14:39.722Z,2024-11-19T14:14:39.722Z,0,,511.66,19-Nov-2024,
673b55fed3f4c3bb625750a1,DABUR,EQ,N,2024-11-18,2024-11-17T18:30:00.000Z,509.6,499.0,509.1,508.5,509.25,508.1,3329177,1681632513.85,672.0,489.2,67872,INE016A01026,2024-11-18T14:58:06.081Z,2024-11-18T14:58:06.081Z,0,,505.12,18-Nov-2024,
6735e67eeac4892b7af2fb25,DABUR,EQ,N,2024-11-14,2024-11-13T18:30:00.000Z,513.95,502.65,510.85,508.1,508.55,510.85,2083472,1056831662.75,672.0,489.2,50903,INE016A01026,2024-11-14T12:01:02.507Z,2024-11-14T12:01:02.507Z,0,,507.25,14-Nov-2024,
673494ff036449975278dcc6,DABUR,EQ,N,2024-11-13,2024-11-12T18:30:00.000Z,514.2,507.3,511.35,510.85,511.15,510.5,2253481,1151761966.35,672.0,489.2,75791,INE016A01026,2024-11-13T12:01:03.166Z,2024-11-13T12:01:03.166Z,0,,511.1,13-Nov-2024,
67334780cabf8e1b7d93c1ab,DABUR,EQ,N,2024-11-12,2024-11-11T18:30:00.000Z,524.15,509.5,522.8,510.5,509.95,522.75,4775306,2466853329.85,672.0,489.2,74080,INE016A01026,2024-11-12T12:18:08.218Z,2024-11-12T12:18:08.218Z,0,,516.59,12-Nov-2024,
673200356a51627d52e46dfd,DABUR,EQ,N,2024-11-11,2024-11-10T18:30:00.000Z,531.4,520.35,530.0,522.75,522.65,531.5,1589666,834864291.7,672.0,489.2,37041,INE016A01026,2024-11-11T13:01:41.805Z,2024-11-11T13:01:41.805Z,0,,525.18,11-Nov-2024,
672e19bcefd84b77a866ed5b,DABUR,EQ,N,2024-11-08,2024-11-07T18:30:00.000Z,535.0,528.6,532.35,531.5,531.2,534.5,1458407,774984268.05,672.0,489.2,45770,INE016A01026,2024-11-08T14:01:32.694Z,2024-11-08T14:01:32.694Z,0,,531.39,08-Nov-2024,"[{'symbol': 'DABUR', 'series': 'EQ', 'ind': '-', 'faceVal': '1', 'subject': 'Interim Dividend - Rs 2.75 Per Share', 'exDate': '08-Nov-2024', 'recDate': '08-Nov-2024', 'bcStartDate': '-', 'bcEndDate': '-', 'ndStartDate': '-', 'comp': 'Dabur India Limited', 'isin': 'INE016A01026', 'ndEndDate': '-', 'caBroadcastDate': None}]"
