_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,symChange,CA
63aed300ece58500067d20b7,TATACONSUM,EQ,N,782.3,765.0,778.0,766.95,772.0,776.1,715796,552506235.3,861.15,650.2,30964,INE192A01025,2022-12-30,2022-12-29T18:30:00.000Z,2022-12-30T12:01:04.217Z,2022-12-30T12:01:04.217Z,0,,771.88,30-Dec-2022,,
63ad8180165f2b0007bbcfd0,TATACONSUM,EQ,N,779.0,763.1,779.0,776.1,776.05,780.15,1691955,1301654896.95,861.15,650.2,49574,INE192A01025,2022-12-29,2022-12-28T18:30:00.000Z,2022-12-29T12:01:04.336Z,2022-12-29T12:01:04.336Z,0,,769.32,29-Dec-2022,,
63ac3000b817f50007b7e7c5,TATACONSUM,EQ,N,782.9,773.15,778.0,780.15,780.0,777.85,610240,475309723.85,861.15,650.2,24574,INE192A01025,2022-12-28,2022-12-27T18:30:00.000Z,2022-12-28T12:01:04.076Z,2022-12-28T12:01:04.076Z,0,,778.89,28-Dec-2022,,
63aade62877f910007943dfc,TATACONSUM,EQ,N,781.0,770.6,778.8,777.85,777.7,775.3,601101,466104451.1,861.15,650.2,28453,INE192A01025,2022-12-27,2022-12-26T18:30:00.000Z,2022-12-27T12:00:34.386Z,2022-12-27T12:00:34.386Z,0,,775.42,27-Dec-2022,,
63a98d00dec2580006f62f9c,TATACONSUM,EQ,N,783.7,773.0,779.0,775.3,775.75,779.0,1014226,787314187.05,861.15,650.2,43288,INE192A01025,2022-12-26,2022-12-25T18:30:00.000Z,2022-12-26T12:01:04.655Z,2022-12-26T12:01:04.655Z,0,,776.27,26-Dec-2022,,
63a59880ba71aa0006a9f60f,TATACONSUM,EQ,N,797.9,775.8,793.05,779.0,780.15,798.65,1216647,954295402.45,861.15,650.2,51177,INE192A01025,2022-12-23,2022-12-22T18:30:00.000Z,2022-12-23T12:01:04.131Z,2022-12-23T12:01:04.131Z,0,,784.37,23-Dec-2022,,
63a446dd4168e200078942ea,TATACONSUM,EQ,N,809.0,787.0,802.75,798.65,797.15,802.6,1017965,810949218.5,861.15,650.2,31667,INE192A01025,2022-12-22,2022-12-21T18:30:00.000Z,2022-12-22T12:00:29.014Z,2022-12-22T12:00:29.014Z,0,,796.64,22-Dec-2022,,
63a2f563fbd8f20007c484db,TATACONSUM,EQ,N,811.9,801.0,809.0,802.6,802.6,808.3,811513,654302487.9,861.15,650.2,30312,INE192A01025,2022-12-21,2022-12-20T18:30:00.000Z,2022-12-21T12:00:35.015Z,2022-12-21T12:00:35.015Z,0,,806.27,21-Dec-2022,,
63a1a3e2c0ffa70007a00d92,TATACONSUM,EQ,N,809.95,800.1,808.5,808.3,807.7,808.85,677159,544946893.05,861.15,650.2,21725,INE192A01025,2022-12-20,2022-12-19T18:30:00.000Z,2022-12-20T12:00:34.447Z,2022-12-20T12:00:34.447Z,0,,804.75,20-Dec-2022,,
63a0527ff1563200081b4b7e,TATACONSUM,EQ,N,810.0,798.45,801.15,808.85,807.05,801.55,1120217,901431575.3,861.15,650.2,38718,INE192A01025,2022-12-19,2022-12-18T18:30:00.000Z,2022-12-19T12:01:03.799Z,2022-12-19T12:01:03.799Z,0,,804.69,19-Dec-2022,,
639c5e0028c1380006e2fc0b,TATACONSUM,EQ,N,804.95,795.0,803.3,801.55,802.55,804.9,849333,680501342.05,861.15,650.2,29839,INE192A01025,2022-12-16,2022-12-15T18:30:00.000Z,2022-12-16T12:01:04.450Z,2022-12-16T12:01:04.450Z,0,,801.22,16-Dec-2022,,
639b0c6174943d000772248b,TATACONSUM,EQ,N,815.45,802.05,815.4,804.9,803.0,815.45,783051,631845876.55,861.15,650.2,32265,INE192A01025,2022-12-15,2022-12-14T18:30:00.000Z,2022-12-15T12:00:33.866Z,2022-12-15T12:00:33.866Z,0,,806.9,15-Dec-2022,,
6399bae4e6e7840007d9bd10,TATACONSUM,EQ,N,817.0,807.35,808.4,815.45,813.1,807.6,971275,789253255.55,861.15,650.2,30384,INE192A01025,2022-12-14,2022-12-13T18:30:00.000Z,2022-12-14T12:00:36.306Z,2022-12-14T12:00:36.306Z,0,,812.6,14-Dec-2022,,
63986961f596af0007c3f063,TATACONSUM,EQ,N,814.45,804.7,812.0,807.6,806.8,810.05,1224742,992157231.8,861.15,650.2,36060,INE192A01025,2022-12-13,2022-12-12T18:30:00.000Z,2022-12-13T12:00:33.979Z,2022-12-13T12:00:33.979Z,0,,810.09,13-Dec-2022,,
639718008f01260008e2fc90,TATACONSUM,EQ,N,813.0,799.2,803.0,810.05,811.15,803.3,948219,765318959.95,861.15,650.2,36433,INE192A01025,2022-12-12,2022-12-11T18:30:00.000Z,2022-12-12T12:01:04.497Z,2022-12-12T12:01:04.497Z,0,,807.11,12-Dec-2022,,
6393238041313000070c3926,TATACONSUM,EQ,N,809.9,801.0,804.2,803.3,802.0,804.2,1080966,871185473.7,861.15,650.2,33000,INE192A01025,2022-12-09,2022-12-08T18:30:00.000Z,2022-12-09T12:01:04.690Z,2022-12-09T12:01:04.690Z,0,,805.93,09-Dec-2022,,
6391d20015fb0f00073a2e06,TATACONSUM,EQ,N,807.95,796.5,800.55,804.2,803.2,799.35,805216,647414366.35,861.15,650.2,26232,INE192A01025,2022-12-08,2022-12-07T18:30:00.000Z,2022-12-08T12:01:04.220Z,2022-12-08T12:01:04.220Z,0,,804.03,08-Dec-2022,,
63908080bba3e7000746bf87,TATACONSUM,EQ,N,806.5,797.05,799.9,799.35,799.0,797.65,2020441,1619166079.6,861.15,650.2,38629,INE192A01025,2022-12-07,2022-12-06T18:30:00.000Z,2022-12-07T12:01:04.604Z,2022-12-07T12:01:04.604Z,0,,801.39,07-Dec-2022,,
638f2f00029bc50007eb753c,TATACONSUM,EQ,N,800.0,793.55,800.0,797.65,798.95,800.5,826214,658238972.6,861.15,650.2,22794,INE192A01025,2022-12-06,2022-12-05T18:30:00.000Z,2022-12-06T12:01:04.650Z,2022-12-06T12:01:04.650Z,0,,796.69,06-Dec-2022,,
638ddd62c10ae00007166cf3,TATACONSUM,EQ,N,803.0,788.6,795.55,800.5,799.0,795.55,1540201,1227298316.65,861.15,650.2,36748,INE192A01025,2022-12-05,2022-12-04T18:30:00.000Z,2022-12-05T12:00:34.733Z,2022-12-05T12:00:34.733Z,0,,796.84,05-Dec-2022,,
6389e900029bc50007800536,TATACONSUM,EQ,N,812.5,792.2,810.0,795.55,795.05,813.2,2882169,2303182417.0,861.15,650.2,47166,INE192A01025,2022-12-02,2022-12-01T18:30:00.000Z,2022-12-02T12:01:04.553Z,2022-12-02T12:01:04.553Z,0,,799.11,02-Dec-2022,,
63889783de35720007f05e19,TATACONSUM,EQ,N,821.9,810.15,821.9,813.2,811.05,818.05,966282,786455913.95,861.15,650.2,29759,INE192A01025,2022-12-01,2022-11-30T18:30:00.000Z,2022-12-01T12:01:07.625Z,2022-12-01T12:01:07.625Z,0,,813.9,01-Dec-2022,,
63874601de35720007b7fdf0,TATACONSUM,EQ,N,821.95,804.25,805.05,818.05,816.0,805.05,3390682,2765072327.75,861.15,650.2,49628,INE192A01025,2022-11-30,2022-11-29T18:30:00.000Z,2022-11-30T12:01:05.409Z,2022-11-30T12:01:05.409Z,0,,815.49,30-Nov-2022,,
6385f463735fc10007ec18bd,TATACONSUM,EQ,N,811.9,803.05,804.95,805.05,804.8,804.3,1278339,1032259772.3,861.15,650.2,38851,INE192A01025,2022-11-29,2022-11-28T18:30:00.000Z,2022-11-29T12:00:35.092Z,2022-11-29T12:00:35.092Z,0,,807.5,29-Nov-2022,,
6384a2e509ea49000713ff90,TATACONSUM,EQ,N,808.9,785.0,789.0,804.3,804.0,789.15,2043706,1632842936.4,861.15,650.2,45194,INE192A01025,2022-11-28,2022-11-27T18:30:00.000Z,2022-11-28T12:00:37.176Z,2022-11-28T12:00:37.176Z,0,,798.96,28-Nov-2022,,
6380ae8351c71c00078f365a,TATACONSUM,EQ,N,799.5,780.0,798.75,789.15,788.4,792.75,2385612,1880804103.1,861.15,650.2,46263,INE192A01025,2022-11-25,2022-11-24T18:30:00.000Z,2022-11-25T12:01:07.683Z,2022-11-25T12:01:07.683Z,0,,788.39,25-Nov-2022,,
637f5d00b092ab000748b3bc,TATACONSUM,EQ,N,795.0,781.25,787.85,792.75,793.2,770.15,6211909,4902474362.9,861.15,650.2,94677,INE192A01025,2022-11-24,2022-11-23T18:30:00.000Z,2022-11-24T12:01:04.915Z,2022-11-24T12:01:04.915Z,0,,789.21,24-Nov-2022,,
637e0b8070aa600007544be9,TATACONSUM,EQ,N,776.0,765.0,773.1,770.15,771.0,771.3,875779,674381245.35,861.15,650.2,22040,INE192A01025,2022-11-23,2022-11-22T18:30:00.000Z,2022-11-23T12:01:04.839Z,2022-11-23T12:01:04.839Z,0,,770.04,23-Nov-2022,,
637cba0398bcc20007be4cf3,TATACONSUM,EQ,N,776.9,766.2,771.0,771.3,772.0,770.95,868523,670862909.85,861.15,650.2,26170,INE192A01025,2022-11-22,2022-11-21T18:30:00.000Z,2022-11-22T12:01:07.084Z,2022-11-22T12:01:07.084Z,0,,772.42,22-Nov-2022,,
637b6865463ad400077b19b8,TATACONSUM,EQ,N,775.45,762.3,774.3,770.95,770.4,775.7,760664,585025928.8,861.15,650.2,24820,INE192A01025,2022-11-21,2022-11-20T18:30:00.000Z,2022-11-21T12:00:37.252Z,2022-11-21T12:00:37.252Z,0,,769.1,21-Nov-2022,,
6377740459851f0007931d4d,TATACONSUM,EQ,N,793.0,769.25,789.35,775.7,777.0,786.0,1417103,1106790895.5,861.15,650.2,39877,INE192A01025,2022-11-18,2022-11-17T18:30:00.000Z,2022-11-18T12:01:08.551Z,2022-11-18T12:01:08.551Z,0,,781.02,18-Nov-2022,,
637622837af31f0007533f2d,TATACONSUM,EQ,N,789.45,766.0,766.0,786.0,784.5,769.55,2944879,2309107427.95,861.15,650.2,74382,INE192A01025,2022-11-17,2022-11-16T18:30:00.000Z,2022-11-17T12:01:07.742Z,2022-11-17T12:01:07.742Z,0,,784.11,17-Nov-2022,,
6374d0e8476c500007eefb37,TATACONSUM,EQ,N,774.2,764.8,772.75,769.55,770.0,772.75,1071710,822337913.5,861.15,650.2,24297,INE192A01025,2022-11-16,2022-11-15T18:30:00.000Z,2022-11-16T12:00:40.353Z,2022-11-16T12:00:40.353Z,0,,767.31,16-Nov-2022,,
63737f810f8197000847b7f7,TATACONSUM,EQ,N,774.0,763.5,767.75,772.75,773.65,767.75,756436,580954522.05,861.15,650.2,21028,INE192A01025,2022-11-15,2022-11-14T18:30:00.000Z,2022-11-15T12:01:05.768Z,2022-11-15T12:01:05.768Z,0,,768.02,15-Nov-2022,,
637331a24391210007c5d7f0,TATACONSUM,EQ,N,775.0,766.5,773.35,767.75,767.1,773.2,708750,544959865.25,861.15,650.2,26238,INE192A01025,2022-11-14,2022-11-13T18:30:00.000Z,2022-11-15T06:28:50.130Z,2022-11-15T06:28:50.130Z,0,,768.9,14-Nov-2022,,
636e396831b6440007d9caa5,TATACONSUM,EQ,N,779.85,770.05,772.55,773.2,771.8,768.7,921004,713037070.85,861.15,650.2,34310,INE192A01025,2022-11-11,2022-11-10T18:30:00.000Z,2022-11-11T12:00:40.778Z,2022-11-11T12:00:40.778Z,0,,774.2,11-Nov-2022,,
636ce7ec9fc50d0007acb43b,TATACONSUM,EQ,N,771.7,762.05,770.0,768.7,767.75,770.15,839329,643207915.3,861.15,650.2,50010,INE192A01025,2022-11-10,2022-11-09T18:30:00.000Z,2022-11-10T12:00:44.067Z,2022-11-10T12:00:44.067Z,0,,766.34,10-Nov-2022,,
636b96699fc50d00077a526d,TATACONSUM,EQ,N,781.8,765.85,778.5,770.15,770.2,772.15,1256533,971561640.6,861.15,650.2,32438,INE192A01025,2022-11-09,2022-11-08T18:30:00.000Z,2022-11-09T12:00:41.213Z,2022-11-09T12:00:41.213Z,0,,773.21,09-Nov-2022,,
6368f367ea65ae0007eb1c97,TATACONSUM,EQ,N,776.45,764.3,768.15,772.15,770.05,764.3,1004208,773438250.2,861.15,650.2,44322,INE192A01025,2022-11-07,2022-11-06T18:30:00.000Z,2022-11-07T12:00:39.940Z,2022-11-07T12:00:39.940Z,0,,770.2,07-Nov-2022,,
6364fee252e5ad0007d2a718,TATACONSUM,EQ,N,767.0,759.2,761.0,764.3,766.0,762.75,940199,717374810.6,861.15,650.2,58047,INE192A01025,2022-11-04,2022-11-03T18:30:00.000Z,2022-11-04T12:00:34.984Z,2022-11-04T12:00:34.984Z,0,,763.0,04-Nov-2022,,
6363ad69e8e06a0007c521ca,TATACONSUM,EQ,N,770.0,756.65,768.05,762.75,764.0,768.05,1573795,1199469401.3,861.15,650.2,69208,INE192A01025,2022-11-03,2022-11-02T18:30:00.000Z,2022-11-03T12:00:41.517Z,2022-11-03T12:00:41.517Z,0,,762.15,03-Nov-2022,,
63625c029686a20007223c2b,TATACONSUM,EQ,N,778.2,764.7,776.0,768.05,767.25,774.85,1073726,825084414.4,861.15,650.2,25701,INE192A01025,2022-11-02,2022-11-01T18:30:00.000Z,2022-11-02T12:01:06.794Z,2022-11-02T12:01:06.794Z,0,,768.43,02-Nov-2022,,
63610a83e70a7c00070befb2,TATACONSUM,EQ,N,784.5,767.4,773.0,774.85,774.25,770.15,1893673,1466147505.9,861.15,650.2,51026,INE192A01025,2022-11-01,2022-10-31T18:30:00.000Z,2022-11-01T12:01:07.115Z,2022-11-01T12:01:07.115Z,0,,774.23,01-Nov-2022,,
635fb903f9a97d0007e14d31,TATACONSUM,EQ,N,772.45,761.9,765.2,770.15,770.35,761.35,997865,764984512.65,861.15,650.2,33529,INE192A01025,2022-10-31,2022-10-30T18:30:00.000Z,2022-10-31T12:01:07.307Z,2022-10-31T12:01:07.307Z,0,,766.62,31-Oct-2022,,
635bc46a1ae954000774b7dd,TATACONSUM,EQ,N,773.45,759.5,773.45,761.35,761.4,770.05,1598314,1217720480.35,861.15,650.2,36149,INE192A01025,2022-10-28,2022-10-27T18:30:00.000Z,2022-10-28T12:00:42.594Z,2022-10-28T12:00:42.594Z,0,,761.88,28-Oct-2022,,
635a72e7e9c95900075d1473,TATACONSUM,EQ,N,779.5,759.6,774.75,770.05,770.65,766.95,1692389,1300887896.85,861.15,650.2,48528,INE192A01025,2022-10-27,2022-10-26T18:30:00.000Z,2022-10-27T12:00:39.489Z,2022-10-27T12:00:39.489Z,0,,768.67,27-Oct-2022,,
