_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP
60c200006804760008d0c210,HDFCLIFE,EQ,N,679.0,669.55,676.7,676.5,676.15,675.7,2959814,1997449440.3,688.5,340.0,46595,INE795G01014,2020-12-31,2020-12-30T18:30:00.000Z,2021-06-10T12:05:20.637Z,2021-06-10T12:05:20.637Z,0,,674.86,31-Dec-2020
60c1ffec6804760008d0b900,HDFCLIFE,EQ,N,679.0,667.0,679.0,675.7,674.15,673.2,2886107,1943188878.75,688.5,340.0,60576,INE795G01014,2020-12-30,2020-12-29T18:30:00.000Z,2021-06-10T12:05:00.275Z,2021-06-10T12:05:00.275Z,0,,673.29,30-Dec-2020
60c1ffd67ad7b200082384ed,HDFCLIFE,EQ,N,686.35,670.15,683.0,673.2,673.0,678.7,4102480,2775249788.75,688.5,340.0,73346,INE795G01014,2020-12-29,2020-12-28T18:30:00.000Z,2021-06-10T12:04:38.900Z,2021-06-10T12:04:38.900Z,0,,676.48,29-Dec-2020
60c1ffc257283a0008f177ae,HDFCLIFE,EQ,N,680.0,657.7,661.85,678.7,678.0,657.25,5624012,3783331877.35,688.5,340.0,99574,INE795G01014,2020-12-28,2020-12-27T18:30:00.000Z,2021-06-10T12:04:18.526Z,2021-06-10T12:04:18.526Z,0,,672.71,28-Dec-2020
60c1ffadf9fddb000867ba0f,HDFCLIFE,EQ,N,663.6,649.0,651.7,657.25,656.95,648.6,3776278,2485013417.65,688.5,340.0,68947,INE795G01014,2020-12-24,2020-12-23T18:30:00.000Z,2021-06-10T12:03:57.405Z,2021-06-10T12:03:57.405Z,0,,658.06,24-Dec-2020
60c1ff987ad7b20008237bf4,HDFCLIFE,EQ,N,649.9,633.75,641.25,648.6,648.85,641.25,2940595,1889411138.5,688.5,340.0,69114,INE795G01014,2020-12-23,2020-12-22T18:30:00.000Z,2021-06-10T12:03:36.202Z,2021-06-10T12:03:36.202Z,0,,642.53,23-Dec-2020
60c1ff8257283a0008f16ead,HDFCLIFE,EQ,N,643.25,620.6,630.0,641.25,641.0,629.2,3085304,1946541538.9,688.5,340.0,92102,INE795G01014,2020-12-22,2020-12-21T18:30:00.000Z,2021-06-10T12:03:14.674Z,2021-06-10T12:03:14.674Z,0,,630.91,22-Dec-2020
60c1ff6ef9fddb000867b0eb,HDFCLIFE,EQ,N,653.15,617.4,646.0,629.2,627.95,654.1,3004002,1913617599.95,688.5,340.0,92680,INE795G01014,2020-12-21,2020-12-20T18:30:00.000Z,2021-06-10T12:02:54.047Z,2021-06-10T12:02:54.047Z,0,,637.02,21-Dec-2020
60c1ff596804760008d0afb4,HDFCLIFE,EQ,N,656.3,640.0,656.3,654.1,655.2,654.55,2540821,1653829950.0,688.5,340.0,55239,INE795G01014,2020-12-18,2020-12-17T18:30:00.000Z,2021-06-10T12:02:33.451Z,2021-06-10T12:02:33.451Z,0,,650.9,18-Dec-2020
60c1ff446804760008d0a6b0,HDFCLIFE,EQ,N,661.2,650.25,651.0,654.55,653.85,648.7,4660373,3055239402.85,688.5,340.0,90993,INE795G01014,2020-12-17,2020-12-16T18:30:00.000Z,2021-06-10T12:02:12.032Z,2021-06-10T12:02:12.032Z,0,,655.58,17-Dec-2020
60c1ff2f7ad7b20008237299,HDFCLIFE,EQ,N,655.75,647.25,655.4,648.7,649.2,651.45,2540833,1651055961.95,688.5,340.0,69780,INE795G01014,2020-12-16,2020-12-15T18:30:00.000Z,2021-06-10T12:01:51.498Z,2021-06-10T12:01:51.498Z,0,,649.81,16-Dec-2020
60c1ff1a57283a0008f1657c,HDFCLIFE,EQ,N,663.95,644.75,659.9,651.45,651.3,655.75,4819043,3145484326.2,688.5,340.0,68258,INE795G01014,2020-12-15,2020-12-14T18:30:00.000Z,2021-06-10T12:01:30.939Z,2021-06-10T12:01:30.939Z,0,,652.72,15-Dec-2020
60c1ff05f9fddb000867a7cd,HDFCLIFE,EQ,N,668.0,653.25,667.45,655.75,655.35,664.5,2696137,1770661188.75,688.5,340.0,84322,INE795G01014,2020-12-14,2020-12-13T18:30:00.000Z,2021-06-10T12:01:09.870Z,2021-06-10T12:01:09.870Z,0,,656.74,14-Dec-2020
60c1fef16804760008d09d98,HDFCLIFE,EQ,N,668.35,655.25,663.9,664.5,663.0,659.45,6275768,4167218065.7,688.5,340.0,122296,INE795G01014,2020-12-11,2020-12-10T18:30:00.000Z,2021-06-10T12:00:49.417Z,2021-06-10T12:00:49.417Z,0,,664.02,11-Dec-2020
60c1fedc7ad7b20008236982,HDFCLIFE,EQ,N,661.0,645.65,656.1,659.45,660.0,652.6,5582666,3660027131.5,688.5,340.0,94898,INE795G01014,2020-12-10,2020-12-09T18:30:00.000Z,2021-06-10T12:00:28.981Z,2021-06-10T12:00:28.981Z,0,,655.61,10-Dec-2020
60c1fec77ad7b2000823602f,HDFCLIFE,EQ,N,656.5,645.0,655.5,652.6,653.8,651.5,4512763,2935925986.9,688.5,340.0,86079,INE795G01014,2020-12-09,2020-12-08T18:30:00.000Z,2021-06-10T12:00:07.688Z,2021-06-10T12:00:07.688Z,0,,650.58,09-Dec-2020
60c1feb257283a0008f15c34,HDFCLIFE,EQ,N,657.7,644.0,652.55,651.5,652.55,649.55,4409047,2873314548.45,688.5,340.0,136542,INE795G01014,2020-12-08,2020-12-07T18:30:00.000Z,2021-06-10T11:59:46.474Z,2021-06-10T11:59:46.474Z,0,,651.69,08-Dec-2020
60c1fe9df9fddb0008679e9b,HDFCLIFE,EQ,N,651.4,641.85,645.1,649.55,650.2,643.25,4644396,3006856352.1,688.5,340.0,111928,INE795G01014,2020-12-07,2020-12-06T18:30:00.000Z,2021-06-10T11:59:25.063Z,2021-06-10T11:59:25.063Z,0,,647.42,07-Dec-2020
60c1fe876804760008d0944f,HDFCLIFE,EQ,N,654.95,640.1,652.0,643.25,643.25,647.95,4452423,2880498467.55,688.5,340.0,79853,INE795G01014,2020-12-04,2020-12-03T18:30:00.000Z,2021-06-10T11:59:03.879Z,2021-06-10T11:59:03.879Z,0,,646.95,04-Dec-2020
60c1fe726804760008d08a73,HDFCLIFE,EQ,N,650.7,625.0,626.1,647.95,648.55,636.5,26754679,17169730491.65,688.5,340.0,249249,INE795G01014,2020-12-03,2020-12-02T18:30:00.000Z,2021-06-10T11:58:42.533Z,2021-06-10T11:58:42.533Z,0,,641.75,03-Dec-2020
60c1fe5d7ad7b20008235686,HDFCLIFE,EQ,N,646.9,630.2,644.0,636.5,635.85,641.9,6126982,3907001187.7,688.5,340.0,124249,INE795G01014,2020-12-02,2020-12-01T18:30:00.000Z,2021-06-10T11:58:21.965Z,2021-06-10T11:58:21.965Z,0,,637.67,02-Dec-2020
60c1fe4957283a0008f152e8,HDFCLIFE,EQ,N,656.0,639.5,653.25,641.9,643.6,646.8,4569057,2943217121.1,688.5,340.0,97745,INE795G01014,2020-12-01,2020-11-30T18:30:00.000Z,2021-06-10T11:58:01.288Z,2021-06-10T11:58:01.288Z,0,,644.16,01-Dec-2020
60c1fe34f9fddb00086795a9,HDFCLIFE,EQ,N,664.1,642.15,663.7,646.8,647.0,660.8,9917761,6426571467.4,688.5,340.0,168532,INE795G01014,2020-11-27,2020-11-26T18:30:00.000Z,2021-06-10T11:57:40.258Z,2021-06-10T11:57:40.258Z,0,,647.99,27-Nov-2020
60c1fe1f6804760008d08139,HDFCLIFE,EQ,N,675.4,658.15,668.0,660.8,660.8,665.1,3804983,2526182806.3,688.5,340.0,90398,INE795G01014,2020-11-26,2020-11-25T18:30:00.000Z,2021-06-10T11:57:19.857Z,2021-06-10T11:57:19.857Z,0,,663.91,26-Nov-2020
60c1fe0bf9fddb0008678c9f,HDFCLIFE,EQ,N,688.5,661.85,672.45,665.1,665.1,664.15,6798974,4599219536.9,688.5,340.0,142039,INE795G01014,2020-11-25,2020-11-24T18:30:00.000Z,2021-06-10T11:56:59.443Z,2021-06-10T11:56:59.443Z,0,,676.46,25-Nov-2020
60c1fdf657283a0008f149d6,HDFCLIFE,EQ,N,666.4,651.4,665.5,664.15,665.75,661.3,2108847,1388456142.3,676.1,340.0,64520,INE795G01014,2020-11-24,2020-11-23T18:30:00.000Z,2021-06-10T11:56:38.031Z,2021-06-10T11:56:38.031Z,0,,658.4,24-Nov-2020
60c1fde1f9fddb00086783a1,HDFCLIFE,EQ,N,674.3,655.95,667.2,661.3,660.0,663.9,3011294,2003083213.85,676.1,340.0,96279,INE795G01014,2020-11-23,2020-11-22T18:30:00.000Z,2021-06-10T11:56:17.074Z,2021-06-10T11:56:17.074Z,0,,665.19,23-Nov-2020
60c1fdcb6804760008d07848,HDFCLIFE,EQ,N,668.55,647.35,647.35,663.9,664.7,646.05,3045488,2006429674.7,676.1,340.0,69061,INE795G01014,2020-11-20,2020-11-19T18:30:00.000Z,2021-06-10T11:55:55.702Z,2021-06-10T11:55:55.702Z,0,,658.82,20-Nov-2020
60c1fdb657283a0008f13ffb,HDFCLIFE,EQ,N,670.75,643.0,661.0,646.05,647.4,664.8,4212122,2762880308.65,676.1,340.0,85508,INE795G01014,2020-11-19,2020-11-18T18:30:00.000Z,2021-06-10T11:55:34.667Z,2021-06-10T11:55:34.667Z,0,,655.94,19-Nov-2020
60c1fda157283a0008f13715,HDFCLIFE,EQ,N,676.1,661.2,672.5,664.8,665.2,670.05,3642631,2433303318.35,676.1,340.0,79318,INE795G01014,2020-11-18,2020-11-17T18:30:00.000Z,2021-06-10T11:55:13.334Z,2021-06-10T11:55:13.334Z,0,,668.01,18-Nov-2020
60c1fd8cf9fddb0008677aa5,HDFCLIFE,EQ,N,674.0,635.0,638.7,670.05,672.5,636.1,9740753,6412796580.05,674.0,340.0,155225,INE795G01014,2020-11-17,2020-11-16T18:30:00.000Z,2021-06-10T11:54:52.790Z,2021-06-10T11:54:52.790Z,0,,658.35,17-Nov-2020
60c1fd786804760008d070e6,HDFCLIFE,EQ,N,639.2,633.7,638.0,636.1,635.55,627.5,1080124,687250140.75,647.6,340.0,44188,INE795G01014,2020-11-14,2020-11-13T18:30:00.000Z,2021-06-10T11:54:32.101Z,2021-06-10T11:54:32.101Z,0,,636.27,14-Nov-2020
60c1fd63f9fddb00086771ba,HDFCLIFE,EQ,N,630.35,617.95,625.0,627.5,628.5,630.4,5036293,3157012884.95,647.6,340.0,49307,INE795G01014,2020-11-13,2020-11-12T18:30:00.000Z,2021-06-10T11:54:11.113Z,2021-06-10T11:54:11.113Z,0,,626.85,13-Nov-2020
60c1fd4e7ad7b20008234da8,HDFCLIFE,EQ,N,633.1,618.4,623.85,630.4,629.35,623.45,3555249,2232558692.45,647.6,340.0,85290,INE795G01014,2020-11-12,2020-11-11T18:30:00.000Z,2021-06-10T11:53:50.575Z,2021-06-10T11:53:50.575Z,0,,627.96,12-Nov-2020
60c1fd3a57283a0008f12e57,HDFCLIFE,EQ,N,626.8,614.25,616.95,623.45,622.9,609.65,6526986,4058166197.55,647.6,340.0,113136,INE795G01014,2020-11-11,2020-11-10T18:30:00.000Z,2021-06-10T11:53:30.174Z,2021-06-10T11:53:30.174Z,0,,621.75,11-Nov-2020
60c1fd246804760008d06819,HDFCLIFE,EQ,N,615.1,590.4,595.0,609.65,615.0,592.85,4801645,2884892016.85,647.6,340.0,96860,INE795G01014,2020-11-10,2020-11-09T18:30:00.000Z,2021-06-10T11:53:08.731Z,2021-06-10T11:53:08.731Z,0,,600.81,10-Nov-2020
60c1fd107ad7b200082344a0,HDFCLIFE,EQ,N,599.0,587.75,596.0,592.85,593.8,590.6,2978907,1764388565.2,647.6,340.0,64556,INE795G01014,2020-11-09,2020-11-08T18:30:00.000Z,2021-06-10T11:52:48.212Z,2021-06-10T11:52:48.212Z,0,,592.29,09-Nov-2020
60c1fcfaf9fddb0008676912,HDFCLIFE,EQ,N,598.6,588.85,593.0,590.6,590.55,592.05,1990463,1181027999.35,647.6,340.0,46704,INE795G01014,2020-11-06,2020-11-05T18:30:00.000Z,2021-06-10T11:52:26.914Z,2021-06-10T11:52:26.914Z,0,,593.34,06-Nov-2020
