date_key,open,high,low,close
2015-01-01,11214.8,11235.75,11166.35,11215.7
2015-01-02,11214.65,11399.1,11214.65,11372.1
2015-01-05,11369.35,11433.75,11186.95,11248.55
2015-01-06,11186.1,11186.1,10909.0,10959.9
2015-01-07,11013.2,11042.35,10889.55,10916.0
2015-01-08,11031.15,11058.15,10915.05,11018.15
2015-01-09,11058.05,11484.9,10932.2,11399.65
2015-01-12,11456.0,11565.85,11378.8,11543.65
2015-01-13,11545.25,11546.6,11437.95,11502.8
2015-01-14,11561.95,11631.55,11521.0,11614.3
2015-01-15,11672.3,11774.5,11575.1,11669.85
2015-01-16,11708.85,11708.85,11582.85,11659.6
2015-01-19,11732.5,11797.6,11629.05,11642.75
2015-01-20,11681.8,11721.9,11635.7,11695.0
2015-01-21,11732.45,11838.3,11659.7,11813.7
2015-01-22,11832.55,11884.5,11782.95,11850.85
2015-01-23,11877.9,11921.0,11767.4,11885.15
2015-01-27,11915.6,11917.25,11679.55,11693.45
2015-01-28,11712.55,11821.8,11693.8,11809.55
2015-01-29,11812.35,11861.5,11728.75,11824.15
2015-01-30,11998.35,12003.35,11799.35,11824.75
2015-02-02,11871.35,11972.6,11847.8,11943.95
2015-02-03,11963.75,12000.65,11849.0,11963.9
2015-02-04,12027.1,12027.1,11902.35,11938.9
2015-02-05,11967.75,12295.35,11963.8,12165.15
2015-02-06,12190.7,12380.45,12186.95,12267.95
2015-02-09,12160.9,12285.45,12160.9,12249.3
2015-02-10,12215.2,12297.75,12129.65,12162.85
2015-02-11,12198.45,12265.7,12149.35,12243.4
2015-02-12,12277.2,12397.0,12253.05,12372.0
2015-02-13,12369.6,12506.7,12353.25,12464.95
2015-02-16,12461.75,12541.05,12457.65,12487.2
2015-02-18,12511.05,12647.7,12442.7,12632.75
2015-02-19,12629.05,12737.1,12628.75,12723.8
2015-02-20,12750.0,12750.0,12550.75,12571.95
2015-02-23,12607.35,12709.9,12475.9,12531.3
2015-02-24,12572.25,12644.1,12514.65,12566.2
2015-02-25,12621.55,12719.9,12600.05,12633.35
2015-02-26,12623.8,12633.15,12429.5,12458.5
2015-02-27,12511.25,12578.1,12434.65,12554.95
2015-02-28,12612.05,12700.05,12493.95,12659.8
2015-03-02,12700.6,12719.05,12586.15,12663.7
2015-03-03,12687.25,12871.15,12635.5,12855.9
2015-03-04,12885.75,12908.1,12630.55,12730.6
2015-03-05,12719.1,12832.3,12615.45,12665.5
2015-03-09,12599.8,12599.8,12372.45,12422.25
