_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TIMESTAMP,TIMESTAMP,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA
6773dcffc3d8efb79b692805,HINDZINC,EQ,N,2024-12-31,2024-12-30T18:30:00.000Z,445.5,432.6,432.6,444.0,443.7,432.4,1432597,628290665.3,807.7,284.6,51149,INE267A01025,2024-12-31T12:01:03.419Z,2024-12-31T12:01:03.419Z,0,,438.57,31-Dec-2024,
67728b7f3592730a18a598ae,HINDZINC,EQ,N,2024-12-30,2024-12-29T18:30:00.000Z,454.7,429.6,454.0,432.4,433.8,454.7,2763331,1209696980.3,807.7,284.6,90326,INE267A01025,2024-12-30T12:01:03.556Z,2024-12-30T12:01:03.556Z,0,,437.77,30-Dec-2024,
676e96de9d250c1c572800ec,HINDZINC,EQ,N,2024-12-27,2024-12-26T18:30:00.000Z,463.25,453.85,454.0,454.7,455.6,453.25,790788,361249450.9,807.7,284.6,29543,INE267A01025,2024-12-27T12:00:30.164Z,2024-12-27T12:00:30.164Z,0,,456.82,27-Dec-2024,
676d457f8d87f25407c72505,HINDZINC,EQ,N,2024-12-26,2024-12-25T18:30:00.000Z,465.0,451.8,463.4,453.25,453.6,463.4,981853,448061343.5,807.7,284.6,37601,INE267A01025,2024-12-26T12:01:03.099Z,2024-12-26T12:01:03.099Z,0,,456.34,26-Dec-2024,
676aa25b860a445c03ce253f,HINDZINC,EQ,N,2024-12-24,2024-12-23T18:30:00.000Z,465.8,460.45,465.0,463.4,463.0,463.9,599367,277625300.8,807.7,284.6,28423,INE267A01025,2024-12-24T12:00:27.887Z,2024-12-24T12:00:27.887Z,0,,463.2,24-Dec-2024,
676950ffd102eff4ef7dc754,HINDZINC,EQ,N,2024-12-23,2024-12-22T18:30:00.000Z,473.5,462.9,471.0,463.9,463.5,468.8,786344,367118308.9,807.7,284.6,33309,INE267A01025,2024-12-23T12:01:03.742Z,2024-12-23T12:01:03.742Z,0,,466.87,23-Dec-2024,
67655c7f8a68cdbf78107874,HINDZINC,EQ,N,2024-12-20,2024-12-19T18:30:00.000Z,483.9,466.3,480.0,468.8,469.5,479.35,935248,444279214.9,807.7,284.6,42661,INE267A01025,2024-12-20T12:01:03.685Z,2024-12-20T12:01:03.685Z,0,,475.04,20-Dec-2024,
67640aff0fa404e90897f890,HINDZINC,EQ,N,2024-12-19,2024-12-18T18:30:00.000Z,483.0,472.0,478.45,479.35,479.9,485.35,941093,449787871.5,807.7,284.6,42412,INE267A01025,2024-12-19T12:01:03.367Z,2024-12-19T12:01:03.367Z,0,,477.94,19-Dec-2024,
6762b95c0fa404e90897ebc3,HINDZINC,EQ,N,2024-12-18,2024-12-17T18:30:00.000Z,492.2,481.4,491.15,485.35,485.55,490.65,910000,442703743.25,807.7,284.6,38472,INE267A01025,2024-12-18T12:00:28.203Z,2024-12-18T12:00:28.203Z,0,,486.49,18-Dec-2024,
676167dcda3f93657ef459cb,HINDZINC,EQ,N,2024-12-17,2024-12-16T18:30:00.000Z,501.0,490.0,499.7,490.65,490.55,498.25,1068528,526774244.4,807.7,284.6,43876,INE267A01025,2024-12-17T12:00:28.785Z,2024-12-17T12:00:28.785Z,0,,492.99,17-Dec-2024,
