_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TIMESTAMP,TIMESTAMP,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA
6773dd01dcd6a4fdd5da3136,SBICARD,EQ,N,2024-12-31,2024-12-30T18:30:00.000Z,672.15,663.05,667.5,663.85,664.45,669.5,589773,392657129.55,817.4,647.95,34453,INE018E01016,2024-12-31T12:01:05.704Z,2024-12-31T12:01:05.704Z,0,,665.78,31-Dec-2024,
67728b81fcbe9f5d896974de,SBICARD,EQ,N,2024-12-30,2024-12-29T18:30:00.000Z,678.85,667.05,675.35,669.5,670.4,675.3,663779,445844506.3,817.4,647.95,37951,INE018E01016,2024-12-30T12:01:05.751Z,2024-12-30T12:01:05.751Z,0,,671.68,30-Dec-2024,
676e97012735aad80199670c,SBICARD,EQ,N,2024-12-27,2024-12-26T18:30:00.000Z,684.85,674.0,679.85,675.3,676.8,679.2,662434,450342990.0,817.4,647.95,36656,INE018E01016,2024-12-27T12:01:05.861Z,2024-12-27T12:01:05.861Z,0,,679.83,27-Dec-2024,
676d4582719d55176d727648,SBICARD,EQ,N,2024-12-26,2024-12-25T18:30:00.000Z,698.2,677.35,695.1,679.2,679.5,695.9,1108502,757286055.1,817.4,647.95,47783,INE018E01016,2024-12-26T12:01:06.505Z,2024-12-26T12:01:06.505Z,0,,683.16,26-Dec-2024,
676aa283b9175d991cfb3539,SBICARD,EQ,N,2024-12-24,2024-12-23T18:30:00.000Z,705.3,682.8,686.05,695.9,695.25,691.3,1146340,798564757.7,817.4,647.95,34177,INE018E01016,2024-12-24T12:01:07.165Z,2024-12-24T12:01:07.165Z,0,,696.62,24-Dec-2024,
676951012735aad8019940a5,SBICARD,EQ,N,2024-12-23,2024-12-22T18:30:00.000Z,700.5,688.3,689.8,691.3,690.95,687.0,412325,286118989.9,817.4,647.95,26715,INE018E01016,2024-12-23T12:01:05.421Z,2024-12-23T12:01:05.421Z,0,,693.92,23-Dec-2024,
67655c822dd9ee863fc61772,SBICARD,EQ,N,2024-12-20,2024-12-19T18:30:00.000Z,708.15,685.1,703.4,687.0,688.6,703.4,608957,423657591.7,817.4,647.95,32447,INE018E01016,2024-12-20T12:01:06.361Z,2024-12-20T12:01:06.361Z,0,,695.71,20-Dec-2024,
67640b01734336da9a1e1511,SBICARD,EQ,N,2024-12-19,2024-12-18T18:30:00.000Z,709.35,697.0,700.0,703.4,703.0,710.55,719891,506290959.85,817.4,647.95,24355,INE018E01016,2024-12-19T12:01:05.899Z,2024-12-19T12:01:05.899Z,0,,703.29,19-Dec-2024,
6762b983b717e2d64f281bfd,SBICARD,EQ,N,2024-12-18,2024-12-17T18:30:00.000Z,719.0,708.6,714.0,710.55,712.9,715.35,274048,195268430.7,817.4,647.95,17092,INE018E01016,2024-12-18T12:01:07.082Z,2024-12-18T12:01:07.082Z,0,,712.53,18-Dec-2024,
67616802b717e2d64f27f727,SBICARD,EQ,N,2024-12-17,2024-12-16T18:30:00.000Z,730.5,714.05,727.0,715.35,714.55,728.35,385028,277016380.0,817.4,647.95,20690,INE018E01016,2024-12-17T12:01:06.059Z,2024-12-17T12:01:06.059Z,0,,719.47,17-Dec-2024,
